Product,Link,Price
"Cobratype Canebrake Gaming Desktop PC - NVIDIA RTX 3070 Ti, Ryzen 5 5600X, 32 GB DDR4, 2 TB NVMe,  AIO Liquid Cooler, Windows 11 Pro",https://www.newegg.com/p/3D5-000D-00153?Item=9SIAHT3H886554&Description=3070&cm_re=3070-_-9SIAHT3H886554-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3H886554-_-3070-_-3070-_-19,2749
"Cobratype Cascabel Gaming Desktop PC - Ryzen 5800X, GTX 1660, 32GB DDR4, 2TB NVMe, AIO Liquid Cooler, Windows 10 Pro",https://www.newegg.com/p/3D5-000D-00170?Item=9SIAHT3HB24817&Description=3070&cm_re=3070-_-9SIAHT3HB24817-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3HB24817-_-3070-_-3070-_-20,1949
"Cobratype Anaconda Gaming Desktop PC - Intel i9-10900F, RTX 3060, 32GB DDR4, 1TB NVMe - Free AIO Liquid Cooler While Supplies Last",https://www.newegg.com/p/3D5-000D-000M0?Item=9SIAHT3E2E9869&Description=3070&cm_re=3070-_-9SIAHT3E2E9869-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3E2E9869-_-3070-_-3070-_-21,2599
"Cobratype Hunter Gaming Desktop PC – Intel i5-10400F, GTX 1660, 16 GB DDR4, 500 GB NVMe, Windows 11 Pro",https://www.newegg.com/p/3D5-000D-00177?Item=9SIAHT3HB24876&Description=3070&cm_re=3070-_-9SIAHT3HB24876-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3HB24876-_-3070-_-3070-_-22,1549
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD,https://www.newegg.com/gigabyte-geforce-rtx-3070-ti-gv-n307tgaming-oc-8g/p/N82E16814932443?Description=3070&cm_re=3070-_-14-932-443-_-Product,1307
"Cobratype Python Gaming Desktop PC - NVIDIA RTX 3070 Ti, Core i7 11700F 4.90Ghz, 32GB DDR4, 2TB NVMe, Windows 10, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-000V7?Description=3070&cm_re=3070-_-3D5-000D-000V7-_-Product,2799
"Velztorm Caelix Custom Built Gaming Desktop PC (AMD Ryzen 7 - 5800X 8-Core, 32GB RAM, 512GB PCIe SSD + 2TB HDD (3.5), NVIDIA GeForce RTX 3070, Wifi, 4xUSB 3.0, 1xHDMI, Win 10 Home)",https://www.newegg.com/p/3D5-000W-02621?Description=3070&cm_re=3070-_-3D5-000W-02621-_-Product,2299
MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G,https://www.newegg.com/msi-geforce-rtx-3070-ti-gaming-x-trio-8g/p/N82E16814137661?Description=3070&cm_re=3070-_-14-137-661-_-Product,1301
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3070 Ti - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,https://www.newegg.com/abs-ali575/p/N82E16883360210?Description=3070&cm_re=3070-_-83-360-210-_-Product,2099
MEK HERO G1 A5837 Gaming Desktop Powered By Zotac - Ryzen 7 5000 Series 5800X (3.80 GHz) NVIDIA GeForce RTX 3070 8 GB Dual-Channel 16 GB DDR4 1 TB HDD 1 TB PCIe NVMe SSD Windows 10 Home 64-bit,https://www.newegg.com/zotac-gh3070a5800x01bl-u-w2b/p/N82E16883218097?Description=3070&cm_re=3070-_-9SIAMFBGNZ5834-_-Product,2299
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TVISION OC-8GD,https://www.newegg.com/gigabyte-geforce-rtx-3070-ti-gv-n307tvision-oc-8g/p/N82E16814932442?Description=3070&cm_re=3070-_-14-932-442-_-Product,1348
"ASUS ROG Strix GA15 Gaming Desktop PC, AMD Ryzen 7 5800X, GeForce RTX 3070, 32GB DDR4 RAM, 512GB SSD + 1TB HDD, Wi-Fi 5, Windows 10 Home, GA15DK-IB778",https://www.newegg.com/asus-ga15dk-ib778-rog-strix-ga15/p/N82E16883221709?Description=3070&cm_re=3070-_-83-221-709-_-Product,1999
MSI Suprim GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3070 Suprim X 8G LHR,https://www.newegg.com/msi-geforce-rtx-3070-rtx-3070-suprim-x-8g-lhr/p/N82E16814137668?Description=3070&cm_re=3070-_-14-137-668-_-Product,1266
Acer Gaming Desktop Predator Orion 3000 PO3-630-UR13 Intel Core i7 11th Gen 11700F (2.50GHz) 16GB DDR4 1TB HDD 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Windows 10 Home 64-bit,https://www.newegg.com/acer-po3-630-ur13-predator-orion-3000/p/N82E16883101847?Description=3070&cm_re=3070-_-83-101-847-_-Product,1949
CyberpowerPC Gaming Desktop Gamer Master GM60600 Ryzen 5 5000 Series 5600X (3.70GHz) 16GB DDR4 1 TB SSD NVIDIA GeForce RTX 3070 Ti Windows 10 Home 64-bit,https://www.newegg.com/cyberpowerpc-gamer-master-gm60600/p/N82E16883230638?Description=3070&cm_re=3070-_-83-230-638-_-Product,2149
GIGABYTE Eagle GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TEAGLE OC-8GD,https://www.newegg.com/gigabyte-geforce-rtx-3070-ti-gv-n307teagle-oc-8gd/p/N82E16814932444?Description=3070&cm_re=3070-_-14-932-444-_-Product,1335
Yeyian Gaming Desktop Katana X02 YPB-KAT-X02 Intel Core i7 10th Gen 10700KF (3.80GHz) 16GB DDR4 1 TB NVMe SSD NVIDIA GeForce RTX 3070 Windows 10 Home 64-bit,https://www.newegg.com/yeyian-ypb-kat-x02-katana-x02/p/N82E16883630007?Description=3070&cm_re=3070-_-83-630-007-_-Product,1999
"Skytech Blaze 3.0 Gaming PC Desktop –  AMD Ryzen 5 5600X 3.7GHz, RTX 3070 8GB GDDR6, 1TB NVMe, 16G DDR4 3000,  B550 Motherboard, 750W Gold PSU, AC Wi-Fi, Windows 10 Home 64-bit",https://www.newegg.com/skytech-st-blaze3-0-0161-nu-gaming-entertainment/p/1VK-005B-000R7?Description=3070&cm_re=3070-_-9SIA08CDS14319-_-Product,2099
CyberpowerPC Gaming Desktop Gamer Supreme Liquid Cool SLC10640CPG Ryzen 9 5000 Series 5950X (3.40 GHz) 16 GB DDR4 2 TB HDD 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Windows 10 Home 64-bit,https://www.newegg.com/cyberpowerpc-slc10640cpg-gamer-supreme-liquid-cool/p/N82E16883230592?Description=3070&cm_re=3070-_-9SIA4P0GKW5182-_-Product,2749
Yeyian Gaming Desktop Katana X21 Intel Core i7 12th Gen 12700KF (3.60 GHz) 16GB DDR4 1 TB NVMe Gen 4 SSD NVIDIA GeForce RTX 3070 Windows 11 Home 64-bit,https://www.newegg.com/yeyian-katana-x21/p/N82E16883630009?Description=3070&cm_re=3070-_-83-630-009-_-Product,2099
MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC,https://www.newegg.com/msi-geforce-rtx-3070-ti-ventus-3x-8g-oc/p/N82E16814137662?Description=3070&cm_re=3070-_-14-137-662-_-Product,1341
CyberpowerPC Gaming Desktop Gamer Supreme SLC10760CPG Intel Core i7 11th Gen 11700KF (3.60 GHz) 16 GB DDR4 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti Windows 10 Home 64-bit,https://www.newegg.com/cyberpowerpc-slc10760cpg-gamer-supreme/p/N82E16883230651?Description=3070&cm_re=3070-_-9SIA4P0H1H6583-_-Product,2289
iBUYPOWER Gaming Desktop Slate5MR 217i Intel Core i7 11th Gen 11700KF (3.60GHz) 16GB DDR4 1 TB SATA SSD NVIDIA GeForce RTX 3070 Windows 10 Home 64-bit,https://www.newegg.com/ibuypower-slate5mr-217i/p/N82E16883227960?Description=3070&cm_re=3070-_-83-227-960-_-Product,2777
"EVGA GeForce RTX 3070 XC3 ULTRA GAMING Video Card, 08G-P5-3755-KL, 8GB GDDR6, iCX3 Cooling, ARGB LED, Metal Backplate, LHR",https://www.newegg.com/evga-geforce-rtx-3070-08g-p5-3755-kl/p/N82E16814487545?Description=3070&cm_re=3070-_-9SIABT1FTE9045-_-Product,1082
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,https://www.newegg.com/p/1FT-000A-002C0?Description=3070&cm_re=3070-_-1FT-000A-002C0-_-Product,1304
CyberpowerPC Gaming Desktop Gamer Supreme SLC10800CPG Ryzen 7 5000 Series 5800X (3.80 GHz) 16 GB DDR4 1 TB HDD 500 GB PCIe SSD NVIDIA GeForce RTX 3070 Ti Windows 10 Home 64-bit,https://www.newegg.com/cyberpowerpc-slc10800cpg-gamer-supreme/p/N82E16883230653?Description=3070&cm_re=3070-_-9SIA4P0H1J1203-_-Product,2499
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,https://www.newegg.com/p/1FT-000A-002B4?Description=3070&cm_re=3070-_-1FT-000A-002B4-_-Product,1258
"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X, GV-N307TGAMING OC-8GD Video Card",https://www.newegg.com/gigabyte-geforce-rtx-3070-ti-gv-n307tgaming-oc-8gd/p/1FT-000A-002J5?Description=3070&cm_re=3070-_-1FT-000A-002J5-_-Product,1323
CyberpowerPC Gaming Desktop Gamer Supreme SLC10900 Intel Core i7 11th Gen 11700KF (3.60GHz) 32GB DDR4 2TB HDD 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti Windows 10 Home 64-bit,https://www.newegg.com/cyberpowerpc-slc10900-gamer-supreme/p/N82E16883230647?Description=3070&cm_re=3070-_-9SIA24GFUD6519-_-Product,2519
Colorful GeForce RTX 3070 8G V2 LHR Video Card PCI Express 4.0 Nvidia Graphics Card GPU Video Cards for Desktop Graphics Cards,https://www.newegg.com/p/1FT-00G2-00001?Description=3070&cm_re=3070-_-9SIB6H4GMK5494-_-Product,1158
"Cobratype Sonora Gaming Desktop PC - Ryzen 5800X, GTX 1660, 32GB DDR4, 1TB NVMe, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-00165?Item=9SIAHT3HB23335&Description=3070&cm_re=3070-_-9SIAHT3HB23335-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3HB23335-_-3070-_-3070-_-5,1849
